quarter,region,segment,churn_rate,churned_customers,starting_customers,retention_rate
Q1_2025,APAC,SMB,0.0676,10,150,0.9324
Q1_2025,APAC,Mid-Market,0.0502,3,50,0.9498
Q1_2025,APAC,Enterprise,0.0219,1,20,0.9781
Q1_2025,EMEA,SMB,0.0603,9,150,0.9397
Q1_2025,EMEA,Mid-Market,0.0574,3,50,0.9426
Q1_2025,EMEA,Enterprise,0.0192,1,20,0.9808
Q1_2025,North America,SMB,0.0713,11,150,0.9287
Q1_2025,North America,Mid-Market,0.0586,3,50,0.9414
Q1_2025,North America,Enterprise,0.0219,1,20,0.9781
Q1_2025,LATAM,SMB,0.0547,8,150,0.9453
Q1_2025,LATAM,Mid-Market,0.0426,2,50,0.9574
Q1_2025,LATAM,Enterprise,0.0228,1,20,0.9772
Q2_2025,APAC,SMB,0.052,8,162,0.948
Q2_2025,APAC,Mid-Market,0.0571,3,54,0.9429
Q2_2025,APAC,Enterprise,0.0199,1,21,0.9801
Q2_2025,EMEA,SMB,0.0578,9,162,0.9422
Q2_2025,EMEA,Mid-Market,0.0581,3,54,0.9419
Q2_2025,EMEA,Enterprise,0.0208,1,21,0.9792
Q2_2025,North America,SMB,0.0618,10,162,0.9382
Q2_2025,North America,Mid-Market,0.0512,3,54,0.9488
Q2_2025,North America,Enterprise,0.019,1,21,0.981
Q2_2025,LATAM,SMB,0.0669,11,162,0.9331
Q2_2025,LATAM,Mid-Market,0.0451,2,54,0.9549
Q2_2025,LATAM,Enterprise,0.0235,1,21,0.9765
Q3_2025,APAC,SMB,0.14,24,174,0.86
Q3_2025,APAC,Mid-Market,0.0467,3,57,0.9533
Q3_2025,APAC,Enterprise,0.0218,1,23,0.9782
Q3_2025,EMEA,SMB,0.14,24,174,0.86
Q3_2025,EMEA,Mid-Market,0.0468,3,57,0.9532
Q3_2025,EMEA,Enterprise,0.0239,1,23,0.9761
Q3_2025,North America,SMB,0.14,24,174,0.86
Q3_2025,North America,Mid-Market,0.0451,3,57,0.9549
Q3_2025,North America,Enterprise,0.0202,1,23,0.9798
Q3_2025,LATAM,SMB,0.14,24,174,0.86
Q3_2025,LATAM,Mid-Market,0.0518,3,57,0.9482
Q3_2025,LATAM,Enterprise,0.022,1,23,0.978
Q4_2025,APAC,SMB,0.2,37,186,0.8
Q4_2025,APAC,Mid-Market,0.052,3,62,0.948
Q4_2025,APAC,Enterprise,0.18,4,24,0.82
Q4_2025,EMEA,SMB,0.2,37,186,0.8
Q4_2025,EMEA,Mid-Market,0.0446,3,62,0.9554
Q4_2025,EMEA,Enterprise,0.0181,1,24,0.9819
Q4_2025,North America,SMB,0.2,37,186,0.8
Q4_2025,North America,Mid-Market,0.044,3,62,0.956
Q4_2025,North America,Enterprise,0.0184,1,24,0.9816
Q4_2025,LATAM,SMB,0.2,37,186,0.8
Q4_2025,LATAM,Mid-Market,0.059,4,62,0.941
Q4_2025,LATAM,Enterprise,0.0236,1,24,0.9764
