customer_id,customer_name,region,segment,industry,signup_quarter,status
CUST_001,Finance_001,EMEA,SMB,Finance,Q1_2025,Active
CUST_002,Tech_002,LATAM,Enterprise,Tech,Q2_2025,Active
CUST_003,Retail_003,North America,Mid-Market,Retail,Q1_2025,Active
CUST_004,Finance_004,North America,Mid-Market,Finance,Q4_2025,Active
CUST_005,Tech_005,APAC,SMB,Tech,Q3_2025,Active
CUST_006,Education_006,APAC,Enterprise,Education,Q3_2025,Churned
CUST_007,Healthcare_007,APAC,SMB,Healthcare,Q1_2025,Active
CUST_008,Logistics_008,LATAM,SMB,Logistics,Q4_2025,Active
CUST_009,Education_009,North America,Enterprise,Education,Q1_2025,Active
CUST_010,Tech_010,North America,SMB,Tech,Q1_2025,Active
CUST_011,Education_011,APAC,SMB,Education,Q2_2025,Active
CUST_012,Healthcare_012,LATAM,Enterprise,Healthcare,Q1_2025,Active
CUST_013,Tech_013,North America,Enterprise,Tech,Q4_2025,Active
CUST_014,Education_014,APAC,Mid-Market,Education,Q3_2025,Active
CUST_015,Logistics_015,APAC,Mid-Market,Logistics,Q1_2025,Active
CUST_016,Logistics_016,APAC,SMB,Logistics,Q3_2025,Active
CUST_017,Finance_017,EMEA,SMB,Finance,Q4_2025,Active
CUST_018,Education_018,EMEA,SMB,Education,Q4_2025,Active
CUST_019,Retail_019,EMEA,Mid-Market,Retail,Q3_2025,Active
CUST_020,Education_020,EMEA,Mid-Market,Education,Q4_2025,Active
CUST_021,Tech_021,North America,Mid-Market,Tech,Q4_2025,Active
CUST_022,Tech_022,APAC,Mid-Market,Tech,Q3_2025,Active
CUST_023,Education_023,EMEA,SMB,Education,Q1_2025,Active
CUST_024,Healthcare_024,EMEA,SMB,Healthcare,Q2_2025,Active
CUST_025,Logistics_025,EMEA,SMB,Logistics,Q4_2025,Active
CUST_026,Tech_026,North America,Mid-Market,Tech,Q1_2025,Active
CUST_027,Logistics_027,APAC,SMB,Logistics,Q4_2025,Churned
CUST_028,Tech_028,EMEA,Enterprise,Tech,Q1_2025,Active
CUST_029,Finance_029,North America,SMB,Finance,Q1_2025,Churned
CUST_030,Retail_030,APAC,SMB,Retail,Q2_2025,Active
CUST_031,Tech_031,North America,SMB,Tech,Q1_2025,Active
CUST_032,Logistics_032,APAC,Mid-Market,Logistics,Q4_2025,Active
CUST_033,Finance_033,APAC,Mid-Market,Finance,Q4_2025,Active
CUST_034,Tech_034,LATAM,SMB,Tech,Q4_2025,Active
CUST_035,Healthcare_035,LATAM,SMB,Healthcare,Q3_2025,Active
CUST_036,Retail_036,North America,Mid-Market,Retail,Q1_2025,Active
CUST_037,Tech_037,EMEA,SMB,Tech,Q2_2025,Active
CUST_038,Finance_038,APAC,Mid-Market,Finance,Q3_2025,Active
CUST_039,Healthcare_039,North America,Mid-Market,Healthcare,Q2_2025,Active
CUST_040,Education_040,EMEA,SMB,Education,Q1_2025,Active
CUST_041,Finance_041,APAC,SMB,Finance,Q2_2025,Churned
CUST_042,Finance_042,EMEA,Enterprise,Finance,Q2_2025,Active
CUST_043,Healthcare_043,APAC,SMB,Healthcare,Q4_2025,Active
CUST_044,Finance_044,LATAM,SMB,Finance,Q4_2025,Active
CUST_045,Healthcare_045,EMEA,Mid-Market,Healthcare,Q2_2025,Active
CUST_046,Tech_046,North America,Enterprise,Tech,Q3_2025,Active
CUST_047,Healthcare_047,EMEA,Enterprise,Healthcare,Q3_2025,Active
CUST_048,Healthcare_048,EMEA,Mid-Market,Healthcare,Q1_2025,Active
CUST_049,Retail_049,EMEA,SMB,Retail,Q4_2025,Active
CUST_050,Healthcare_050,APAC,SMB,Healthcare,Q4_2025,Active
CUST_051,Healthcare_051,LATAM,Mid-Market,Healthcare,Q2_2025,Active
CUST_052,Education_052,North America,Mid-Market,Education,Q2_2025,Active
CUST_053,Tech_053,LATAM,SMB,Tech,Q1_2025,Active
CUST_054,Retail_054,LATAM,Enterprise,Retail,Q2_2025,Active
CUST_055,Education_055,North America,SMB,Education,Q1_2025,Churned
CUST_056,Logistics_056,LATAM,SMB,Logistics,Q4_2025,Active
CUST_057,Tech_057,APAC,SMB,Tech,Q1_2025,Churned
CUST_058,Tech_058,APAC,SMB,Tech,Q2_2025,Churned
CUST_059,Logistics_059,APAC,SMB,Logistics,Q4_2025,Active
CUST_060,Healthcare_060,EMEA,SMB,Healthcare,Q3_2025,Active
CUST_061,Education_061,EMEA,SMB,Education,Q1_2025,Active
CUST_062,Finance_062,EMEA,Mid-Market,Finance,Q1_2025,Active
CUST_063,Retail_063,North America,Mid-Market,Retail,Q1_2025,Active
CUST_064,Finance_064,EMEA,Mid-Market,Finance,Q3_2025,Active
CUST_065,Logistics_065,EMEA,Enterprise,Logistics,Q1_2025,Active
CUST_066,Tech_066,EMEA,SMB,Tech,Q2_2025,Active
CUST_067,Tech_067,APAC,SMB,Tech,Q4_2025,Active
CUST_068,Retail_068,North America,Enterprise,Retail,Q1_2025,Active
CUST_069,Tech_069,APAC,SMB,Tech,Q4_2025,Active
CUST_070,Tech_070,LATAM,Enterprise,Tech,Q4_2025,Active
CUST_071,Retail_071,North America,SMB,Retail,Q1_2025,Churned
CUST_072,Education_072,APAC,Enterprise,Education,Q4_2025,Active
CUST_073,Education_073,APAC,SMB,Education,Q2_2025,Active
CUST_074,Retail_074,North America,Enterprise,Retail,Q4_2025,Active
CUST_075,Logistics_075,North America,Mid-Market,Logistics,Q3_2025,Active
CUST_076,Tech_076,North America,Enterprise,Tech,Q3_2025,Active
CUST_077,Tech_077,North America,SMB,Tech,Q2_2025,Churned
CUST_078,Logistics_078,APAC,Mid-Market,Logistics,Q4_2025,Active
CUST_079,Education_079,EMEA,Enterprise,Education,Q3_2025,Active
CUST_080,Healthcare_080,APAC,Mid-Market,Healthcare,Q2_2025,Active
CUST_081,Healthcare_081,LATAM,Mid-Market,Healthcare,Q4_2025,Active
CUST_082,Healthcare_082,North America,Mid-Market,Healthcare,Q1_2025,Active
CUST_083,Education_083,EMEA,SMB,Education,Q1_2025,Active
CUST_084,Education_084,APAC,Mid-Market,Education,Q1_2025,Active
CUST_085,Logistics_085,EMEA,Mid-Market,Logistics,Q2_2025,Churned
CUST_086,Tech_086,EMEA,Enterprise,Tech,Q1_2025,Active
CUST_087,Logistics_087,North America,SMB,Logistics,Q4_2025,Active
CUST_088,Logistics_088,North America,SMB,Logistics,Q1_2025,Active
CUST_089,Education_089,LATAM,Enterprise,Education,Q3_2025,Active
CUST_090,Healthcare_090,EMEA,Enterprise,Healthcare,Q1_2025,Active
CUST_091,Finance_091,APAC,SMB,Finance,Q4_2025,Churned
CUST_092,Tech_092,North America,Mid-Market,Tech,Q4_2025,Active
CUST_093,Education_093,North America,SMB,Education,Q2_2025,Active
CUST_094,Healthcare_094,North America,SMB,Healthcare,Q4_2025,Active
CUST_095,Finance_095,North America,SMB,Finance,Q1_2025,Active
CUST_096,Finance_096,EMEA,SMB,Finance,Q4_2025,Active
CUST_097,Education_097,EMEA,Mid-Market,Education,Q1_2025,Active
CUST_098,Retail_098,EMEA,SMB,Retail,Q4_2025,Active
CUST_099,Tech_099,APAC,Enterprise,Tech,Q1_2025,Active
