quarter,region,segment,product,recognized_revenue,bookings,pipeline_value,gross_margin
Q1_2025,APAC,SMB,InsightOS,29874.07,29389.41,90960.82,0.7
Q1_2025,APAC,SMB,MetricHub,30424.9,33304.27,87718.68,0.7
Q1_2025,APAC,SMB,FlowOps,30190.98,31684.39,93097.01,0.7
Q1_2025,APAC,Mid-Market,InsightOS,60501.34,70360.59,189980.97,0.78
Q1_2025,APAC,Mid-Market,MetricHub,57012.11,65437.14,184682.64,0.78
Q1_2025,APAC,Mid-Market,FlowOps,59694.51,71571.61,188523.4,0.78
Q1_2025,APAC,Enterprise,InsightOS,156585.86,162240.56,527230.1,0.82
Q1_2025,APAC,Enterprise,MetricHub,151878.07,175447.97,455048.89,0.82
Q1_2025,APAC,Enterprise,FlowOps,151912.3,175882.09,543626.71,0.82
Q1_2025,EMEA,SMB,InsightOS,30125.97,34813.77,84968.71,0.7
Q1_2025,EMEA,SMB,MetricHub,30677.18,32750.39,94309.35,0.7
Q1_2025,EMEA,SMB,FlowOps,29144.0,33055.96,89964.73,0.7
Q1_2025,EMEA,Mid-Market,InsightOS,61456.95,67578.63,215602.28,0.78
Q1_2025,EMEA,Mid-Market,MetricHub,57505.81,74300.65,214452.79,0.78
Q1_2025,EMEA,Mid-Market,FlowOps,61903.51,70178.17,197535.4,0.78
Q1_2025,EMEA,Enterprise,InsightOS,157443.93,170250.19,504687.6,0.82
Q1_2025,EMEA,Enterprise,MetricHub,152560.13,187231.23,470402.47,0.82
Q1_2025,EMEA,Enterprise,FlowOps,152309.91,191461.3,455001.86,0.82
Q1_2025,North America,SMB,InsightOS,31234.56,28988.83,87407.48,0.7
Q1_2025,North America,SMB,MetricHub,28547.44,29293.73,97401.03,0.7
Q1_2025,North America,SMB,FlowOps,29564.58,31518.54,84876.2,0.7
Q1_2025,North America,Mid-Market,InsightOS,60582.57,71327.25,194888.02,0.78
Q1_2025,North America,Mid-Market,MetricHub,58998.21,75389.5,195331.37,0.78
Q1_2025,North America,Mid-Market,FlowOps,59961.01,66966.27,211470.78,0.78
Q1_2025,North America,Enterprise,InsightOS,148461.72,180490.0,475335.72,0.82
Q1_2025,North America,Enterprise,MetricHub,157314.89,172493.85,527074.25,0.82
Q1_2025,North America,Enterprise,FlowOps,148912.43,169423.83,529971.88,0.82
Q1_2025,LATAM,SMB,InsightOS,29500.82,34337.24,97474.63,0.7
Q1_2025,LATAM,SMB,MetricHub,31079.47,29024.05,95172.72,0.7
Q1_2025,LATAM,SMB,FlowOps,29734.02,34391.83,92483.18,0.7
Q1_2025,LATAM,Mid-Market,InsightOS,62001.86,69992.04,201401.02,0.78
Q1_2025,LATAM,Mid-Market,MetricHub,57866.33,73975.82,196775.58,0.78
Q1_2025,LATAM,Mid-Market,FlowOps,60000.48,73991.37,203953.82,0.78
Q1_2025,LATAM,Enterprise,InsightOS,145516.48,183248.38,490763.29,0.82
Q1_2025,LATAM,Enterprise,MetricHub,149542.88,163019.21,471002.93,0.82
Q1_2025,LATAM,Enterprise,FlowOps,146715.57,187666.56,451149.25,0.82
Q2_2025,APAC,SMB,InsightOS,32104.44,37490.87,89654.96,0.7
Q2_2025,APAC,SMB,MetricHub,32453.22,36540.44,105802.81,0.7
Q2_2025,APAC,SMB,FlowOps,33199.56,36084.55,103546.93,0.7
Q2_2025,APAC,Mid-Market,InsightOS,64451.38,80224.37,194744.06,0.78
Q2_2025,APAC,Mid-Market,MetricHub,67551.16,74742.79,218306.02,0.78
Q2_2025,APAC,Mid-Market,FlowOps,63211.64,79267.07,197710.67,0.78
Q2_2025,APAC,Enterprise,InsightOS,168036.7,207157.18,509334.49,0.82
Q2_2025,APAC,Enterprise,MetricHub,167011.06,205533.59,554279.39,0.82
Q2_2025,APAC,Enterprise,FlowOps,159951.03,185515.87,511032.63,0.82
Q2_2025,EMEA,SMB,InsightOS,31812.29,37349.4,88989.34,0.7
Q2_2025,EMEA,SMB,MetricHub,33465.54,33515.53,97619.89,0.7
Q2_2025,EMEA,SMB,FlowOps,33354.13,37216.81,94182.55,0.7
Q2_2025,EMEA,Mid-Market,InsightOS,64552.75,74307.48,194972.44,0.78
Q2_2025,EMEA,Mid-Market,MetricHub,63477.71,74982.94,212159.24,0.78
Q2_2025,EMEA,Mid-Market,FlowOps,66238.1,73858.23,215541.06,0.78
Q2_2025,EMEA,Enterprise,InsightOS,160859.66,203755.54,579201.02,0.82
Q2_2025,EMEA,Enterprise,MetricHub,162516.6,205653.12,518052.96,0.82
Q2_2025,EMEA,Enterprise,FlowOps,162670.19,188382.54,530733.7,0.82
Q2_2025,North America,SMB,InsightOS,33153.02,37198.05,89841.87,0.7
Q2_2025,North America,SMB,MetricHub,32836.23,35127.78,89781.99,0.7
Q2_2025,North America,SMB,FlowOps,31466.54,33253.65,90725.14,0.7
Q2_2025,North America,Mid-Market,InsightOS,63139.37,72086.12,208901.11,0.78
Q2_2025,North America,Mid-Market,MetricHub,66416.05,76687.31,237005.86,0.78
Q2_2025,North America,Mid-Market,FlowOps,64247.49,79438.44,232047.44,0.78
Q2_2025,North America,Enterprise,InsightOS,164899.45,190973.3,567388.22,0.82
Q2_2025,North America,Enterprise,MetricHub,157199.41,187695.23,545042.01,0.82
Q2_2025,North America,Enterprise,FlowOps,163221.63,175820.86,588072.33,0.82
Q2_2025,LATAM,SMB,InsightOS,33037.07,34530.3,105619.99,0.7
Q2_2025,LATAM,SMB,MetricHub,32202.67,37880.77,97438.82,0.7
Q2_2025,LATAM,SMB,FlowOps,31150.29,36390.3,100677.77,0.7
Q2_2025,LATAM,Mid-Market,InsightOS,66568.95,82425.8,227944.34,0.78
Q2_2025,LATAM,Mid-Market,MetricHub,65521.46,81002.51,223484.25,0.78
Q2_2025,LATAM,Mid-Market,FlowOps,64204.61,81430.57,203986.1,0.78
Q2_2025,LATAM,Enterprise,InsightOS,165477.19,209235.19,564982.18,0.82
Q2_2025,LATAM,Enterprise,MetricHub,165195.86,204222.58,536225.97,0.82
Q2_2025,LATAM,Enterprise,FlowOps,168061.57,182869.61,499757.73,0.82
Q3_2025,APAC,SMB,InsightOS,27923.93,37354.43,104620.53,0.7
Q3_2025,APAC,SMB,MetricHub,29450.86,36411.52,104073.11,0.7
Q3_2025,APAC,SMB,FlowOps,27147.35,36449.9,107485.53,0.7
Q3_2025,APAC,Mid-Market,InsightOS,66227.94,77641.52,218449.18,0.78
Q3_2025,APAC,Mid-Market,MetricHub,66412.22,80863.18,217231.96,0.78
Q3_2025,APAC,Mid-Market,FlowOps,71291.85,86850.35,234115.15,0.78
Q3_2025,APAC,Enterprise,InsightOS,182381.71,206731.99,581550.71,0.82
Q3_2025,APAC,Enterprise,MetricHub,182512.39,197589.46,631335.33,0.82
Q3_2025,APAC,Enterprise,FlowOps,166045.37,206561.12,530120.41,0.82
Q3_2025,EMEA,SMB,InsightOS,29190.14,37924.83,108714.52,0.7
Q3_2025,EMEA,SMB,MetricHub,28177.82,36151.03,94906.27,0.7
Q3_2025,EMEA,SMB,FlowOps,28107.8,40307.04,101878.25,0.7
Q3_2025,EMEA,Mid-Market,InsightOS,71906.32,86759.37,226118.39,0.78
Q3_2025,EMEA,Mid-Market,MetricHub,70518.64,74628.83,213610.69,0.78
Q3_2025,EMEA,Mid-Market,FlowOps,66458.66,82515.69,228569.69,0.78
Q3_2025,EMEA,Enterprise,InsightOS,174835.76,209680.02,562623.55,0.82
Q3_2025,EMEA,Enterprise,MetricHub,177088.04,219595.04,523696.88,0.82
Q3_2025,EMEA,Enterprise,FlowOps,168906.02,217704.73,566847.94,0.82
Q3_2025,North America,SMB,InsightOS,28999.66,35983.85,102118.97,0.7
Q3_2025,North America,SMB,MetricHub,27562.01,35325.11,106601.0,0.7
Q3_2025,North America,SMB,FlowOps,28345.27,39156.42,111761.97,0.7
Q3_2025,North America,Mid-Market,InsightOS,69889.86,85394.26,223040.37,0.78
Q3_2025,North America,Mid-Market,MetricHub,69008.2,84655.51,226720.24,0.78
Q3_2025,North America,Mid-Market,FlowOps,70215.99,76090.45,236629.39,0.78
Q3_2025,North America,Enterprise,InsightOS,180290.34,224194.39,606023.95,0.82
Q3_2025,North America,Enterprise,MetricHub,178276.11,211219.05,589821.5,0.82
Q3_2025,North America,Enterprise,FlowOps,167625.52,206455.56,574290.05,0.82
Q3_2025,LATAM,SMB,InsightOS,29844.37,36608.39,105430.27,0.7
Q3_2025,LATAM,SMB,MetricHub,28630.89,38135.32,109583.1,0.7
Q3_2025,LATAM,SMB,FlowOps,27751.38,37333.25,111205.16,0.7
Q3_2025,LATAM,Mid-Market,InsightOS,69343.28,77602.15,239178.5,0.78
Q3_2025,LATAM,Mid-Market,MetricHub,71853.42,74105.4,244843.08,0.78
Q3_2025,LATAM,Mid-Market,FlowOps,71838.67,80575.13,254425.38,0.78
Q3_2025,LATAM,Enterprise,InsightOS,178988.73,220228.15,608749.27,0.82
Q3_2025,LATAM,Enterprise,MetricHub,167920.58,196991.56,575822.86,0.82
Q3_2025,LATAM,Enterprise,FlowOps,169893.68,205260.46,625061.84,0.82
Q4_2025,APAC,SMB,InsightOS,31493.33,40712.0,119593.25,0.7
Q4_2025,APAC,SMB,MetricHub,31369.62,39116.42,104927.77,0.7
Q4_2025,APAC,SMB,FlowOps,25965.22,41554.71,110180.89,0.66
Q4_2025,APAC,Mid-Market,InsightOS,75640.78,79757.52,260301.03,0.78
Q4_2025,APAC,Mid-Market,MetricHub,76726.59,90390.71,271176.27,0.78
Q4_2025,APAC,Mid-Market,FlowOps,65305.75,93797.71,269505.13,0.74
Q4_2025,APAC,Enterprise,InsightOS,120000.0,171000.0,558709.1,0.74
Q4_2025,APAC,Enterprise,MetricHub,120000.0,171000.0,595699.75,0.74
Q4_2025,APAC,Enterprise,FlowOps,102000.0,171000.0,668572.15,0.7
Q4_2025,EMEA,SMB,InsightOS,23763.6,38934.11,144000.0,0.7
Q4_2025,EMEA,SMB,MetricHub,23763.6,38189.59,144000.0,0.7
Q4_2025,EMEA,SMB,FlowOps,20199.06,42986.16,144000.0,0.66
Q4_2025,EMEA,Mid-Market,InsightOS,57960.0,80422.71,320000.0,0.78
Q4_2025,EMEA,Mid-Market,MetricHub,57960.0,94410.86,320000.0,0.78
Q4_2025,EMEA,Mid-Market,FlowOps,49266.0,84900.71,320000.0,0.74
Q4_2025,EMEA,Enterprise,InsightOS,144900.0,233601.28,800000.0,0.82
Q4_2025,EMEA,Enterprise,MetricHub,144900.0,226719.43,800000.0,0.82
Q4_2025,EMEA,Enterprise,FlowOps,123165.0,217804.26,800000.0,0.78
Q4_2025,North America,SMB,InsightOS,30865.55,40736.06,110914.45,0.7
Q4_2025,North America,SMB,MetricHub,30330.31,39633.56,119658.53,0.7
Q4_2025,North America,SMB,FlowOps,25827.71,43171.3,111689.36,0.66
Q4_2025,North America,Mid-Market,InsightOS,77742.05,92577.96,241176.59,0.78
Q4_2025,North America,Mid-Market,MetricHub,77105.49,80030.7,269082.34,0.78
Q4_2025,North America,Mid-Market,FlowOps,64072.51,79064.22,255155.13,0.74
Q4_2025,North America,Enterprise,InsightOS,194821.01,203995.9,626781.28,0.82
Q4_2025,North America,Enterprise,MetricHub,190608.97,237049.94,609314.61,0.82
Q4_2025,North America,Enterprise,FlowOps,153422.87,202770.16,629886.04,0.78
Q4_2025,LATAM,SMB,InsightOS,30360.36,43241.24,101792.7,0.7
Q4_2025,LATAM,SMB,MetricHub,31069.53,35910.13,104266.41,0.7
Q4_2025,LATAM,SMB,FlowOps,25808.04,39321.87,115744.84,0.66
Q4_2025,LATAM,Mid-Market,InsightOS,77451.98,89213.6,270495.34,0.78
Q4_2025,LATAM,Mid-Market,MetricHub,77239.22,88266.92,264556.08,0.78
Q4_2025,LATAM,Mid-Market,FlowOps,64141.66,79483.76,259932.01,0.74
Q4_2025,LATAM,Enterprise,InsightOS,178465.3,227399.86,645127.39,0.82
Q4_2025,LATAM,Enterprise,MetricHub,177937.41,211182.67,671543.36,0.82
Q4_2025,LATAM,Enterprise,FlowOps,159938.93,211874.21,643644.29,0.78
