quarter,region,segment,pipeline_value,opportunities_created,win_rate,conversion_rate,avg_sales_cycle_days
Q1_2025,APAC,SMB,105726.44,81,0.308,0.327,29
Q1_2025,APAC,Mid-Market,258873.34,36,0.256,0.236,61
Q1_2025,APAC,Enterprise,657180.24,15,0.242,0.191,93
Q1_2025,EMEA,SMB,100267.61,85,0.348,0.319,31
Q1_2025,EMEA,Mid-Market,257183.96,35,0.287,0.248,61
Q1_2025,EMEA,Enterprise,656284.52,14,0.218,0.203,91
Q1_2025,North America,SMB,102598.41,72,0.294,0.302,28
Q1_2025,North America,Mid-Market,264559.86,33,0.256,0.242,58
Q1_2025,North America,Enterprise,631872.58,14,0.215,0.215,87
Q1_2025,LATAM,SMB,96952.0,83,0.346,0.303,30
Q1_2025,LATAM,Mid-Market,249650.91,37,0.272,0.272,58
Q1_2025,LATAM,Enterprise,613946.09,14,0.218,0.22,86
Q2_2025,APAC,SMB,118311.17,92,0.346,0.281,29
Q2_2025,APAC,Mid-Market,263364.05,40,0.26,0.252,59
Q2_2025,APAC,Enterprise,676783.83,15,0.229,0.204,88
Q2_2025,EMEA,SMB,112187.82,93,0.313,0.298,29
Q2_2025,EMEA,Mid-Market,275627.1,40,0.274,0.241,59
Q2_2025,EMEA,Enterprise,655881.28,15,0.211,0.213,91
Q2_2025,North America,SMB,108285.46,87,0.335,0.281,29
Q2_2025,North America,Mid-Market,249127.58,38,0.255,0.26,57
Q2_2025,North America,Enterprise,687227.22,17,0.225,0.19,89
Q2_2025,LATAM,SMB,110866.23,92,0.338,0.275,29
Q2_2025,LATAM,Mid-Market,273462.85,38,0.255,0.271,57
Q2_2025,LATAM,Enterprise,606302.73,17,0.225,0.209,85
Q3_2025,APAC,SMB,124795.36,98,0.31,0.31,28
Q3_2025,APAC,Mid-Market,294642.23,42,0.287,0.23,58
Q3_2025,APAC,Enterprise,732782.8,17,0.221,0.185,89
Q3_2025,EMEA,SMB,108584.26,99,0.308,0.271,28
Q3_2025,EMEA,Mid-Market,266568.4,38,0.285,0.228,57
Q3_2025,EMEA,Enterprise,724078.54,15,0.211,0.182,93
Q3_2025,North America,SMB,119280.32,97,0.341,0.278,28
Q3_2025,North America,Mid-Market,273357.33,41,0.307,0.244,57
Q3_2025,North America,Enterprise,765404.86,17,0.201,0.202,87
Q3_2025,LATAM,SMB,125852.17,90,0.352,0.31,29
Q3_2025,LATAM,Mid-Market,294412.69,42,0.26,0.233,59
Q3_2025,LATAM,Enterprise,680105.1,18,0.241,0.183,85
Q4_2025,APAC,SMB,126512.66,100,0.298,0.278,30
Q4_2025,APAC,Mid-Market,334028.87,41,0.272,0.247,57
Q4_2025,APAC,Enterprise,769772.79,19,0.242,0.192,86
Q4_2025,EMEA,SMB,236822.96,142,0.128,0.105,54
Q4_2025,EMEA,Mid-Market,567375.24,62,0.112,0.087,108
Q4_2025,EMEA,Enterprise,1309969.92,27,0.088,0.07,162
Q4_2025,North America,SMB,129495.1,94,0.308,0.32,30
Q4_2025,North America,Mid-Market,286501.99,40,0.285,0.241,60
Q4_2025,North America,Enterprise,728577.8,17,0.228,0.195,91
Q4_2025,LATAM,SMB,115572.87,89,0.295,0.315,28
Q4_2025,LATAM,Mid-Market,279167.48,42,0.288,0.25,58
Q4_2025,LATAM,Enterprise,775311.2,17,0.223,0.213,90
