subscription_id,customer_id,product,plan_type,start_quarter,renewal_quarter,arr,status
SUB_001,CUST_001,FlowOps,Standard,Q1_2025,Q1_2026,10431.77,Active
SUB_002,CUST_002,InsightOS,Premium Enterprise,Q2_2025,Q1_2026,116405.34,Active
SUB_003,CUST_002,MetricHub,Premium Enterprise,Q2_2025,Q1_2026,125175.58,Active
SUB_004,CUST_003,FlowOps,Professional,Q1_2025,Q1_2026,36422.37,Active
SUB_005,CUST_003,MetricHub,Professional,Q1_2025,Q1_2026,36903.48,Active
SUB_006,CUST_004,InsightOS,Professional,Q4_2025,Q1_2026,36650.22,Active
SUB_007,CUST_005,FlowOps,Standard,Q3_2025,Q1_2026,13493.29,Active
SUB_008,CUST_006,MetricHub,Premium Enterprise,Q3_2025,Q4_2025,114825.45,Cancelled
SUB_009,CUST_006,FlowOps,Premium Enterprise,Q3_2025,Q4_2025,126741.27,Cancelled
SUB_010,CUST_007,FlowOps,Standard,Q1_2025,Q1_2026,12905.85,Active
SUB_011,CUST_008,FlowOps,Standard,Q4_2025,Q1_2026,10396.71,Active
SUB_012,CUST_009,InsightOS,Premium Enterprise,Q1_2025,Q1_2026,116121.07,Active
SUB_013,CUST_009,FlowOps,Premium Enterprise,Q1_2025,Q1_2026,126652.55,Active
SUB_014,CUST_010,FlowOps,Standard,Q1_2025,Q1_2026,12459.91,Active
SUB_015,CUST_011,FlowOps,Standard,Q2_2025,Q1_2026,11501.04,Active
SUB_016,CUST_012,InsightOS,Premium Enterprise,Q1_2025,Q1_2026,132829.72,Active
SUB_017,CUST_012,FlowOps,Premium Enterprise,Q1_2025,Q1_2026,111059.34,Active
SUB_018,CUST_013,FlowOps,Premium Enterprise,Q4_2025,Q1_2026,138742.2,Active
SUB_019,CUST_013,InsightOS,Premium Enterprise,Q4_2025,Q1_2026,121038.22,Active
SUB_020,CUST_014,MetricHub,Professional,Q3_2025,Q1_2026,34056.04,Active
SUB_021,CUST_015,FlowOps,Professional,Q1_2025,Q1_2026,34683.1,Active
